inspection_date,results,latitude,longitude,location
5/23/2013,pass,41.89576985,-87.62562856,"(41.89576984662454, -87.62562855938958)"
5/23/2013,pass,41.89613188,-87.63404147,"(41.896131882472226, -87.63404146730744)"
5/23/2013,pass,41.89902107,-87.68677928,"(41.899021069348024, -87.68677927520129)"
5/23/2013,pass,41.89940402,-87.69494543,"(41.89940401632183, -87.6949454322811)"
5/23/2013,fail,41.9022123,-87.74884541,"(41.9022123009897, -87.74884541003385)"
5/23/2013,pass,41.90499828,-87.66251491,"(41.904998278202655, -87.66251490612277)"
5/23/2013,pass,41.907025,-87.67779555,"(41.907025004582245, -87.67779554588037)"
5/23/2013,pass,41.90742473,-87.67307367,"(41.907424729614625, -87.6730736738879)"
5/23/2013,fail,41.91020513,-87.68770229,"(41.910205129391386, -87.68770229368916)"
5/23/2013,fail,41.91020513,-87.68770229,"(41.910205129391386, -87.68770229368916)"
5/23/2013,fail,41.91031369,-87.69854907,"(41.91031368817502, -87.69854906884152)"
5/23/2013,pass,41.91072929,-87.65315262,"(41.910729292099305, -87.65315262189527)"
5/23/2013,pass,41.91072929,-87.65315262,"(41.910729292099305, -87.65315262189527)"
5/23/2013,pass,41.91710363,-87.68724877,"(41.917103631009375, -87.68724876700634)"
5/23/2013,pass,41.91729424,-87.70654529,"(41.91729424455668, -87.70654528949485)"
5/23/2013,pass,41.91844043,-87.63825829,"(41.91844043280386, -87.63825828564545)"
5/23/2013,pass,41.92247791,-87.64439905,"(41.922477913374195, -87.64439904705058)"
5/23/2013,fail,41.92909093,-87.64271729,"(41.92909092538381, -87.6427172851986)"
5/23/2013,fail,41.93051756,-87.64394893,"(41.9305175589043, -87.64394893189049)"
5/23/2013,pass,41.93051756,-87.64394893,"(41.9305175589043, -87.64394893189049)"
5/23/2013,pass,41.93665921,-87.64213301,"(41.93665921130026, -87.6421330065536)"
5/23/2013,pass,41.9378603,-87.7860694,"(41.93786030231027, -87.78606939815404)"
5/23/2013,pass,41.93827753,-87.79508859,"(41.93827752996808, -87.79508859241386)"
5/23/2013,pass,41.9389506,-87.72976114,"(41.93895059684536, -87.72976114077323)"
5/23/2013,pass,41.9400969,-87.64454837,"(41.94009690438851, -87.64454836666702)"
5/23/2013,pass,41.9417129,-87.64430634,"(41.94171290343118, -87.64430633617879)"
5/23/2013,pass,41.94188302,-87.644605,"(41.94188302202727, -87.64460500300291)"
5/23/2013,pass,41.94222417,-87.727132,"(41.94222416561078, -87.72713200003015)"
5/23/2013,fail,41.94361136,-87.65436891,"(41.9436113646505, -87.65436890530064)"
5/23/2013,fail,41.94555069,-87.64904996,"(41.94555069309664, -87.6490499606871)"
5/23/2013,fail,41.95510787,-87.76228458,"(41.9551078676731, -87.76228458139845)"
5/23/2013,pass,41.96132,-87.70495936,"(41.961320000321074, -87.704959356867)"
5/23/2013,pass,41.96132305,-87.70443989,"(41.96132304533024, -87.70443989122323)"
5/23/2013,pass,41.96696775,-87.67898747,"(41.96696775194076, -87.6789874731147)"
5/23/2013,pass,41.96848269,-87.69140891,"(41.96848268957195, -87.6914089058082)"
5/23/2013,fail,41.97459679,-87.69235541,"(41.97459679112475, -87.69235541072091)"
5/23/2013,fail,41.97459679,-87.69235541,"(41.97459679112475, -87.69235541072091)"
5/23/2013,pass,41.98114396,-87.84108737,"(41.981143964082634, -87.84108737455419)"
5/23/2013,pass,41.98118072,-87.83916756,"(41.98118072487806, -87.83916755770461)"
5/23/2013,pass,41.9863124,-87.69941016,"(41.98631239595378, -87.69941015778026)"
5/23/2013,pass,41.98647594,-87.69941539,"(41.9864759436678, -87.69941539025004)"
5/23/2013,pass,41.98678859,-87.84012417,"(41.9867885856625, -87.84012417346162)"
5/23/2013,fail,41.99258749,-87.68986215,"(41.99258748774938, -87.6898621543762)"
5/23/2013,pass,41.99766158,-87.68750364,"(41.997661582786776, -87.68750364336269)"
5/23/2013,pass,41.99791446,-87.68554388,"(41.99791445801874, -87.68554388342123)"
5/23/2013,fail,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/23/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/23/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/23/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/23/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/23/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,pass,41.73330693,-87.5681905,"(41.73330693371226, -87.56819050212421)"
5/22/2013,pass,41.73489771,-87.55152211,"(41.7348977118572, -87.55152211437283)"
5/22/2013,pass,41.75019778,-87.66721977,"(41.750197782681674, -87.66721977086333)"
5/22/2013,fail,41.7516661,-87.56282259,"(41.75166609505252, -87.56282258645444)"
5/22/2013,pass,41.75526283,-87.64430781,"(41.75526282553509, -87.64430781136896)"
5/22/2013,fail,41.75842568,-87.60798241,"(41.75842568164409, -87.60798241053473)"
5/22/2013,fail,41.75846743,-87.6179738,"(41.75846743102775, -87.61797380173462)"
5/22/2013,fail,41.77079606,-87.6353099,"(41.77079606406855, -87.63530989669724)"
5/22/2013,pass,41.77335695,-87.60837592,"(41.77335694617281, -87.60837592192954)"
5/22/2013,fail,41.77871819,-87.72682468,"(41.77871818821375, -87.72682467788775)"
5/22/2013,fail,41.78727838,-87.62405731,"(41.78727837536833, -87.62405730568504)"
5/22/2013,pass,41.79300599,-87.78197456,"(41.79300598548857, -87.78197456162096)"
5/22/2013,pass,41.80281073,-87.68441497,"(41.80281073000951, -87.68441497424678)"
5/22/2013,pass,41.81615508,-87.64088352,"(41.816155082491385, -87.64088352173687)"
5/22/2013,pass,41.8163763,-87.64079565,"(41.81637629811259, -87.64079565053886)"
5/22/2013,pass,41.8306191,-87.66498111,"(41.830619099685535, -87.66498111376346)"
5/22/2013,pass,41.83304474,-87.61461136,"(41.833044738178955, -87.61461136443168)"
5/22/2013,pass,41.83692677,-87.64610298,"(41.8369267740749, -87.64610297583852)"
5/22/2013,pass,41.8456065,-87.63388561,"(41.84560650077872, -87.6338856144627)"
5/22/2013,pass,41.85540289,-87.69870754,"(41.85540289350027, -87.69870754487314)"
5/22/2013,pass,41.87747384,-87.68324922,"(41.877473837668695, -87.68324922237663)"
5/22/2013,pass,41.87765874,-87.64120018,"(41.87765873888189, -87.64120017764102)"
5/22/2013,pass,41.87853128,-87.63942746,"(41.878531278353606, -87.63942745962717)"
5/22/2013,pass,41.87930128,-87.63116779,"(41.87930128470342, -87.63116779278104)"
5/22/2013,pass,41.88140721,-87.63715509,"(41.88140721163485, -87.63715509324663)"
5/22/2013,pass,41.88177322,-87.65468908,"(41.881773224806395, -87.65468908350952)"
5/22/2013,pass,41.88324176,-87.67764871,"(41.883241758014485, -87.67764871382398)"
5/22/2013,pass,41.88559449,-87.64346246,"(41.88559449266443, -87.64346245829006)"
5/22/2013,pass,41.88906874,-87.63312817,"(41.88906873753621, -87.63312816939866)"
5/22/2013,pass,41.89099764,-87.6547725,"(41.89099763912711, -87.6547725026918)"
5/22/2013,fail,41.8948147,-87.75630216,"(41.89481469929343, -87.75630215901684)"
5/22/2013,fail,41.89483794,-87.77408919,"(41.89483794336363, -87.77408918515034)"
5/22/2013,pass,41.90144445,-87.63373912,"(41.90144444659322, -87.63373911746031)"
5/22/2013,pass,41.90155157,-87.63453744,"(41.90155156567868, -87.63453744491137)"
5/22/2013,fail,41.91710363,-87.68724877,"(41.917103631009375, -87.68724876700634)"
5/22/2013,pass,41.92960946,-87.64354629,"(41.92960946300949, -87.64354629207727)"
5/22/2013,pass,41.93054553,-87.64908543,"(41.93054552939307, -87.64908542745593)"
5/22/2013,pass,41.93133655,-87.75299705,"(41.931336553380994, -87.75299705381228)"
5/22/2013,pass,41.93288705,-87.64611922,"(41.93288704814085, -87.64611922040106)"
5/22/2013,pass,41.93610815,-87.64441138,"(41.93610815174804, -87.64441137564677)"
5/22/2013,pass,41.93844282,-87.76831838,"(41.93844282365204, -87.76831838068422)"
5/22/2013,fail,41.94103624,-87.72630602,"(41.941036241348485, -87.72630602416586)"
5/22/2013,pass,41.94355499,-87.64511919,"(41.943554985172355, -87.6451191903812)"
5/22/2013,pass,41.94719177,-87.65083813,"(41.947191773865626, -87.65083813240796)"
5/22/2013,pass,41.95329285,-87.76706571,"(41.953292847298, -87.76706570775266)"
5/22/2013,pass,41.95405926,-87.70319086,"(41.954059261483835, -87.70319085577366)"
5/22/2013,pass,41.95406688,-87.70175255,"(41.954066875501354, -87.70175255165984)"
5/22/2013,pass,41.98109378,-87.84407563,"(41.98109378013414, -87.844075627491)"
5/22/2013,pass,41.99734433,-87.67024248,"(41.99734433184908, -87.67024247865407)"
5/22/2013,fail,41.99766158,-87.68750364,"(41.997661582786776, -87.68750364336269)"
5/22/2013,fail,41.99797536,-87.66981876,"(41.9979753576967, -87.66981876108541)"
5/22/2013,fail,42.00259638,-87.6609322,"(42.002596382532914, -87.66093220450281)"
5/22/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,pass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)"
5/22/2013,fail,42.00889671,-87.67331123,"(42.00889670936706, -87.67331123054235)"
5/22/2013,pass,42.01259291,-87.80677399,"(42.012592911340754, -87.80677398807909)"
5/21/2013,pass,41.70341522,-87.62080968,"(41.703415218677996, -87.62080967911609)"
5/21/2013,pass,41.72215179,-87.60520404,"(41.72215178539514, -87.60520403707496)"
5/21/2013,pass,41.73585958,-87.58577161,"(41.73585957574674, -87.58577161179068)"
5/21/2013,fail,41.73592705,-87.64616369,"(41.735927051968524, -87.64616369258991)"
5/21/2013,pass,41.73914652,-87.70224631,"(41.73914652379901, -87.7022463123532)"
5/21/2013,pass,41.74415162,-87.59945492,"(41.744151621286, -87.59945491758985)"
5/21/2013,pass,41.74943395,-87.68268499,"(41.749433950700976, -87.68268498848258)"
5/21/2013,pass,41.75140381,-87.60459305,"(41.75140380914436, -87.60459305325628)"
5/21/2013,pass,41.75171043,-87.57646863,"(41.75171043268834, -87.5764686289653)"
